"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/06/2023","AQS","510030001","1","3.3","ug/m3 LC","18","Albemarle High School","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","16820","Charlottesville, VA","51","Virginia","003","Albemarle","38.0765700009162","-78.50397"
"01/18/2023","AQS","510030001","1","3.7","ug/m3 LC","21","Albemarle High School","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","16820","Charlottesville, VA","51","Virginia","003","Albemarle","38.0765700009162","-78.50397"
"01/21/2023","AQS","510030001","1","2.8","ug/m3 LC","16","Albemarle High School","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","16820","Charlottesville, VA","51","Virginia","003","Albemarle","38.0765700009162","-78.50397"
"01/24/2023","AQS","510030001","1","3.4","ug/m3 LC","19","Albemarle High School","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","16820","Charlottesville, VA","51","Virginia","003","Albemarle","38.0765700009162","-78.50397"
"01/27/2023","AQS","510030001","1","2.8","ug/m3 LC","16","Albemarle High School","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","16820","Charlottesville, VA","51","Virginia","003","Albemarle","38.0765700009162","-78.50397"
"01/30/2023","AQS","510030001","1","5.4","ug/m3 LC","30","Albemarle High School","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","16820","Charlottesville, VA","51","Virginia","003","Albemarle","38.0765700009162","-78.50397"
"02/02/2023","AQS","510030001","1","11.8","ug/m3 LC","56","Albemarle High School","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","16820","Charlottesville, VA","51","Virginia","003","Albemarle","38.0765700009162","-78.50397"
"02/05/2023","AQS","510030001","1","5.7","ug/m3 LC","32","Albemarle High School","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","16820","Charlottesville, VA","51","Virginia","003","Albemarle","38.0765700009162","-78.50397"
"02/08/2023","AQS","510030001","1","8.1","ug/m3 LC","45","Albemarle High School","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","16820","Charlottesville, VA","51","Virginia","003","Albemarle","38.0765700009162","-78.50397"
"02/11/2023","AQS","510030001","1","3.4","ug/m3 LC","19","Albemarle High School","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","16820","Charlottesville, VA","51","Virginia","003","Albemarle","38.0765700009162","-78.50397"
"02/14/2023","AQS","510030001","1","3.8","ug/m3 LC","21","Albemarle High School","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","16820","Charlottesville, VA","51","Virginia","003","Albemarle","38.0765700009162","-78.50397"
"02/17/2023","AQS","510030001","1","4","ug/m3 LC","22","Albemarle High School","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","16820","Charlottesville, VA","51","Virginia","003","Albemarle","38.0765700009162","-78.50397"
"02/20/2023","AQS","510030001","1","5.1","ug/m3 LC","28","Albemarle High School","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","16820","Charlottesville, VA","51","Virginia","003","Albemarle","38.0765700009162","-78.50397"
"02/23/2023","AQS","510030001","1","5.6","ug/m3 LC","31","Albemarle High School","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","16820","Charlottesville, VA","51","Virginia","003","Albemarle","38.0765700009162","-78.50397"
"02/26/2023","AQS","510030001","1","3.2","ug/m3 LC","18","Albemarle High School","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","16820","Charlottesville, VA","51","Virginia","003","Albemarle","38.0765700009162","-78.50397"
