Date_old,Date,Month,Year,Day,Source,Site ID,POC,Daily Mean PM2.5 Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,Method Description,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude,Location
1/6/23,1/6/23,January,2023,Friday,AQS,510030001,1,3.3,ug/m3 LC,18,Albemarle High School,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,16820,"Charlottesville, VA",51,Virginia,003,Albemarle,38.07657,-78.50397,"Albemarle, Virginia"
1/18/23,1/18/23,January,2023,Wednesday,AQS,510030001,1,3.7,ug/m3 LC,21,Albemarle High School,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,16820,"Charlottesville, VA",51,Virginia,003,Albemarle,38.07657,-78.50397,"Albemarle, Virginia"
1/21/23,1/21/23,January,2023,Saturday,AQS,510030001,1,2.8,ug/m3 LC,16,Albemarle High School,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,16820,"Charlottesville, VA",51,Virginia,003,Albemarle,38.07657,-78.50397,"Albemarle, Virginia"
1/24/23,1/24/23,January,2023,Tuesday,AQS,510030001,1,3.4,ug/m3 LC,19,Albemarle High School,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,16820,"Charlottesville, VA",51,Virginia,003,Albemarle,38.07657,-78.50397,"Albemarle, Virginia"
1/27/23,1/27/23,January,2023,Friday,AQS,510030001,1,2.8,ug/m3 LC,16,Albemarle High School,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,16820,"Charlottesville, VA",51,Virginia,003,Albemarle,38.07657,-78.50397,"Albemarle, Virginia"
1/30/23,1/30/23,January,2023,Monday,AQS,510030001,1,5.4,ug/m3 LC,30,Albemarle High School,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,16820,"Charlottesville, VA",51,Virginia,003,Albemarle,38.07657,-78.50397,"Albemarle, Virginia"
2/2/23,2/2/23,February,2023,Thursday,AQS,510030001,1,11.8,ug/m3 LC,56,Albemarle High School,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,16820,"Charlottesville, VA",51,Virginia,003,Albemarle,38.07657,-78.50397,"Albemarle, Virginia"
2/5/23,2/5/23,February,2023,Sunday,AQS,510030001,1,5.7,ug/m3 LC,32,Albemarle High School,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,16820,"Charlottesville, VA",51,Virginia,003,Albemarle,38.07657,-78.50397,"Albemarle, Virginia"
2/8/23,2/8/23,February,2023,Wednesday,AQS,510030001,1,8.1,ug/m3 LC,45,Albemarle High School,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,16820,"Charlottesville, VA",51,Virginia,003,Albemarle,38.07657,-78.50397,"Albemarle, Virginia"
2/11/23,2/11/23,February,2023,Saturday,AQS,510030001,1,3.4,ug/m3 LC,19,Albemarle High School,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,16820,"Charlottesville, VA",51,Virginia,003,Albemarle,38.07657,-78.50397,"Albemarle, Virginia"
